L,margin_rho_over_chi,discount_tau_over_rho,beta_concentration,key,seed,waste_base,waste_tgtg,delta_waste,profit_base,profit_tgtg,delta_profit,prod_base,prod_tgtg,delta_prod,b_star,waste_base_per_day,waste_tgtg_per_day,delta_waste_per_day,prod_base_per_day,prod_tgtg_per_day,delta_prod_per_day
3,2.5,0.15,50.0,L=3|m=2.5|d=0.15|c=50.0,2858,503.8,575.8,71.99999999999994,262.80999999999995,263.71,0.9000000000000341,9600.0,9750.0,150.0,0.0,10.076,11.515999999999998,1.4399999999999988,192.0,195.0,3.0
3,2.5,0.15,100.0,L=3|m=2.5|d=0.15|c=100.0,2871,341.2,319.35,-21.84999999999997,269.44,269.0325,-0.4075000000000273,9550.0,9500.0,-50.0,0.0,6.824,6.3870000000000005,-0.4369999999999993,191.0,190.0,-1.0
3,2.5,0.25,3.0,L=3|m=2.5|d=0.25|c=3.0,2884,1929.15,1552.45,-376.7000000000001,151.04250000000002,144.3775,-6.6650000000000205,8250.0,7400.0,-850.0,0.0,38.583,31.049,-7.534000000000001,165.0,148.0,-17.0
3,2.5,0.25,5.0,L=3|m=2.5|d=0.25|c=5.0,2897,1282.55,1303.4,20.850000000000136,174.3725,173.33,-1.0424999999999898,7950.0,7950.0,0.0,0.0,25.651,26.068,0.4170000000000027,159.0,159.0,0.0
3,2.5,0.25,10.0,L=3|m=2.5|d=0.25|c=10.0,2910,1019.7,981.15,-38.55000000000007,216.015,214.9425,-1.072499999999991,8900.0,8800.0,-100.0,0.0,20.394,19.623,-0.7710000000000014,178.0,176.0,-2.0
3,2.5,0.25,20.0,L=3|m=2.5|d=0.25|c=20.0,2923,746.85,505.9,-240.95000000000005,241.6575,234.205,-7.452499999999958,9300.0,8650.0,-650.0,0.0,14.937,10.118,-4.819000000000001,186.0,173.0,-13.0
3,2.5,0.25,50.0,L=3|m=2.5|d=0.25|c=50.0,2936,392.3,411.35,19.05000000000001,257.88500000000005,258.4325,0.5474999999999568,9250.0,9300.0,50.0,0.0,7.846,8.227,0.3810000000000002,185.0,186.0,1.0
3,2.5,0.25,100.0,L=3|m=2.5|d=0.25|c=100.0,2949,337.45,252.2,-85.25,266.6275,266.39,-0.2375000000000113,9450.0,9300.0,-150.0,0.0,6.749,5.044,-1.705,189.0,186.0,-3.0
3,2.5,0.35,3.0,L=3|m=2.5|d=0.35|c=3.0,2962,2030.55,1923.75,-106.79999999999995,157.97250000000005,155.8125,-2.160000000000025,8650.0,8400.0,-250.0,0.0,40.611,38.475,-2.1359999999999992,173.0,168.0,-5.0
3,2.5,0.35,5.0,L=3|m=2.5|d=0.35|c=5.0,2975,1431.95,1538.1,106.14999999999986,181.9025,182.47,0.567499999999967,8450.0,9350.0,900.0,0.0719740325704338,28.639,30.762,2.122999999999997,169.0,187.0,18.0
3,2.5,0.35,10.0,L=3|m=2.5|d=0.35|c=10.0,2988,1050.95,1015.6,-35.35000000000002,211.4525,210.22,-1.2325000000000443,8800.0,8700.0,-100.0,0.0,21.019,20.312,-0.7070000000000004,176.0,174.0,-2.0
3,2.5,0.35,20.0,L=3|m=2.5|d=0.35|c=20.0,3001,838.6,773.95,-64.64999999999998,244.57,243.30249999999995,-1.267500000000041,9550.0,9400.0,-150.0,0.0,16.772000000000002,15.479,-1.2929999999999997,191.0,188.0,-3.0
3,2.5,0.35,50.0,L=3|m=2.5|d=0.35|c=50.0,3014,377.4,359.9,-17.5,260.13,259.505,-0.625,9300.0,9250.0,-50.0,0.0,7.547999999999999,7.198,-0.35,186.0,185.0,-1.0
3,2.5,0.5,3.0,L=3|m=2.5|d=0.5|c=3.0,3040,1357.4,1207.9,-149.5,137.62999999999997,208.355,70.72500000000005,6850.0,21000.0,14150.0,0.6898473094046946,27.148000000000003,24.158,-2.99,137.0,420.0,283.0
3,2.5,0.35,100.0,L=3|m=2.5|d=0.35|c=100.0,3027,384.0,411.85,27.850000000000023,273.30000000000007,273.4075,0.1074999999999022,9750.0,9800.0,50.0,0.0,7.68,8.237,0.5570000000000005,195.0,196.0,1.0
3,2.5,0.5,5.0,L=3|m=2.5|d=0.5|c=5.0,3053,1401.7,1062.7,-339.0,175.915,235.615,59.70000000000002,8200.0,21000.0,12800.0,0.6513112326592364,28.034,21.254,-6.78,164.0,420.0,256.0
3,2.5,0.5,10.0,L=3|m=2.5|d=0.5|c=10.0,3066,865.95,676.5,-189.45000000000005,219.2025,276.17500000000007,56.97250000000005,8750.0,21000.0,12250.0,0.6097164860370277,17.319000000000003,13.53,-3.789000000000001,175.0,420.0,245.0
3,2.5,0.5,20.0,L=3|m=2.5|d=0.5|c=20.0,3079,768.05,665.75,-102.29999999999995,236.09750000000005,294.2125,58.11499999999995,9150.0,21000.0,11850.0,0.5772531128015561,15.361,13.315,-2.045999999999999,183.0,420.0,237.0
3,2.5,0.5,50.0,L=3|m=2.5|d=0.5|c=50.0,3092,299.55,237.95,-61.60000000000002,253.52250000000004,311.8525,58.329999999999984,8950.0,21000.0,12050.0,0.5856439312143474,5.9910000000000005,4.759,-1.2320000000000004,179.0,420.0,241.0
3,2.5,0.5,100.0,L=3|m=2.5|d=0.5|c=100.0,3105,222.65,174.05,-48.6,266.3675,323.7975,57.43000000000001,9250.0,21000.0,11750.0,0.5677384308792764,4.453,3.4810000000000003,-0.972,185.0,420.0,235.0
3,2.5,0.7,3.0,L=3|m=2.5|d=0.7|c=3.0,3118,1204.15,239.05,-965.1,139.2925,348.7975,209.505,6650.0,21000.0,14350.0,0.8562202451500305,24.083,4.781000000000001,-19.302000000000003,133.0,420.0,287.0
3,2.5,0.7,5.0,L=3|m=2.5|d=0.7|c=5.0,3131,1175.7,302.6,-873.1,181.215,371.12,189.905,8000.0,21000.0,13000.0,0.774142791015817,23.514,6.0520000000000005,-17.462,160.0,420.0,260.0
3,2.5,0.7,10.0,L=3|m=2.5|d=0.7|c=10.0,3144,951.5,377.05,-574.45,213.425,397.3974999999999,183.9724999999999,8700.0,21000.0,12300.0,0.6791639166086368,19.03,7.541,-11.489,174.0,420.0,246.0
3,2.5,0.7,20.0,L=3|m=2.5|d=0.7|c=20.0,3157,626.6,209.95,-416.65,234.17,412.50250000000005,178.33250000000007,8850.0,21000.0,12150.0,0.6579412077267353,12.532,4.199,-8.333,177.0,420.0,243.0
3,2.5,0.7,50.0,L=3|m=2.5|d=0.7|c=50.0,3170,446.05,157.1,-288.95000000000005,259.69750000000005,432.395,172.69749999999993,9400.0,21000.0,11600.0,0.6024885134387558,8.921,3.142,-5.779000000000001,188.0,420.0,232.0
3,3.0,0.15,3.0,L=3|m=3.0|d=0.15|c=3.0,3196,1339.25,1433.35,94.09999999999992,193.64500000000004,197.999,4.353999999999985,6850.0,7100.0,250.0,0.0,26.785,28.667,1.881999999999998,137.0,142.0,5.0
3,2.5,0.7,100.0,L=3|m=2.5|d=0.7|c=100.0,3183,439.45,103.45,-336.0,272.02750000000003,440.3275,168.3,9800.0,21000.0,11200.0,0.5862224011684809,8.789,2.069,-6.72,196.0,420.0,224.0
